course_id,date,enrollment,capacity,day_of_week,days_since_start,will_close_in_24h
CSC002,2023-09-13,3,161,2,12,0
CSC002,2023-09-14,5,161,3,13,0
CSC002,2023-09-15,2,161,4,14,0
CSC002,2023-09-16,3,161,5,15,0
CSC002,2023-09-17,4,161,6,16,0
CSC002,2023-09-18,1,161,0,17,0
CSC002,2023-09-19,3,161,1,18,0
CSC002,2023-09-20,3,161,2,19,0
CSC002,2023-09-21,7,161,3,20,0
CSC002,2023-09-22,8,161,4,21,0
CSC002,2023-09-23,6,161,5,22,0
CSC002,2023-09-24,7,161,6,23,0
CSC002,2023-09-25,7,161,0,24,0
CSC002,2023-09-26,12,161,1,25,0
CSC002,2023-09-27,10,161,2,26,0
CSC002,2023-09-28,13,161,3,27,0
CSC002,2023-09-29,18,161,4,28,0
CSC002,2023-09-30,19,161,5,29,0
CSC002,2023-10-01,18,161,6,30,0
CSC002,2023-10-02,20,161,0,31,0
CSC002,2023-10-03,22,161,1,32,0
CSC002,2023-10-04,27,161,2,33,0
CSC002,2023-10-05,28,161,3,34,0
CSC002,2023-10-06,33,161,4,35,0
CSC002,2023-10-07,38,161,5,36,0
CSC002,2023-10-08,39,161,6,37,0
CSC002,2023-10-09,48,161,0,38,0
CSC002,2023-10-10,52,161,1,39,0
CSC002,2023-10-11,54,161,2,40,0
CSC002,2023-10-12,57,161,3,41,0
CSC002,2023-10-13,66,161,4,42,0
CSC002,2023-10-14,72,161,5,43,0
CSC002,2023-10-15,74,161,6,44,0
CSC002,2023-10-16,78,161,0,45,0
CSC002,2023-10-17,83,161,1,46,0
CSC002,2023-10-18,89,161,2,47,0
CSC002,2023-10-19,98,161,3,48,0
CSC002,2023-10-20,103,161,4,49,0
CSC002,2023-10-21,104,161,5,50,0
CSC002,2023-10-22,109,161,6,51,0
CSC002,2023-10-23,115,161,0,52,0
CSC002,2023-10-24,122,161,1,53,0
CSC002,2023-10-25,123,161,2,54,0
CSC002,2023-10-26,126,161,3,55,0
CSC002,2023-10-27,133,161,4,56,0
CSC002,2023-10-28,131,161,5,57,0
CSC002,2023-10-29,136,161,6,58,0
CSC002,2023-10-30,138,161,0,59,0
CSC002,2023-10-31,140,161,1,60,0
CSC002,2023-11-01,143,161,2,61,0
CSC002,2023-11-02,143,161,3,62,0
CSC002,2023-11-03,144,161,4,63,0
CSC002,2023-11-04,151,161,5,64,0
CSC002,2023-11-05,148,161,6,65,0
CSC002,2023-11-06,151,161,0,66,0
CSC002,2023-11-07,153,161,1,67,1
CSC002,2023-11-08,152,161,2,68,0
CSC002,2023-11-09,153,161,3,69,1
CSC002,2023-11-10,157,161,4,70,1
CSC002,2023-11-11,153,161,5,71,1
CSC002,2023-11-12,156,161,6,72,1
CSC002,2023-11-13,157,161,0,73,1
CSC002,2023-11-14,158,161,1,74,1
CSC002,2023-11-15,159,161,2,75,1
CSC002,2023-11-16,159,161,3,76,1
CSC002,2023-11-17,160,161,4,77,1
CSC002,2023-11-18,158,161,5,78,1
CSC002,2023-11-19,156,161,6,79,1
CSC002,2023-11-20,157,161,0,80,1
CSC002,2023-11-21,160,161,1,81,1
CSC002,2023-11-22,159,161,2,82,1
CSC002,2023-11-23,161,161,3,83,1
CSC002,2023-11-24,157,161,4,84,1
CSC002,2023-11-25,161,161,5,85,1
CSC002,2023-11-26,161,161,6,86,1
CSC002,2023-11-27,160,161,0,87,1
CSC002,2023-11-28,161,161,1,88,1
CSC002,2023-11-29,161,161,2,89,1
CSC003,2023-09-01,3,72,4,0,0
CSC003,2023-09-02,8,72,5,1,0
CSC003,2023-09-03,8,72,6,2,0
CSC003,2023-09-04,8,72,0,3,0
CSC003,2023-09-05,8,72,1,4,0
CSC003,2023-09-06,10,72,2,5,0
CSC003,2023-09-07,10,72,3,6,0
CSC003,2023-09-08,11,72,4,7,0
CSC003,2023-09-09,10,72,5,8,0
CSC003,2023-09-10,11,72,6,9,0
CSC003,2023-09-11,11,72,0,10,0
CSC003,2023-09-12,11,72,1,11,0
CSC003,2023-09-13,12,72,2,12,0
CSC003,2023-09-14,13,72,3,13,0
CSC003,2023-09-15,13,72,4,14,0
CSC003,2023-09-16,14,72,5,15,0
CSC003,2023-09-17,15,72,6,16,0
CSC003,2023-09-18,15,72,0,17,0
CSC003,2023-09-19,16,72,1,18,0
CSC003,2023-09-20,15,72,2,19,0
CSC003,2023-09-21,16,72,3,20,0
CSC003,2023-09-22,18,72,4,21,0
CSC003,2023-09-23,17,72,5,22,0
CSC003,2023-09-24,18,72,6,23,0
CSC003,2023-09-25,19,72,0,24,0
CSC003,2023-09-26,20,72,1,25,0
CSC003,2023-09-27,20,72,2,26,0
CSC003,2023-09-28,21,72,3,27,0
CSC003,2023-09-29,21,72,4,28,0
CSC003,2023-09-30,23,72,5,29,0
CSC003,2023-10-01,24,72,6,30,0
CSC003,2023-10-02,25,72,0,31,0
CSC003,2023-10-03,26,72,1,32,0
CSC003,2023-10-04,26,72,2,33,0
CSC003,2023-10-05,26,72,3,34,0
CSC003,2023-10-06,27,72,4,35,0
CSC003,2023-10-07,29,72,5,36,0
CSC003,2023-10-08,30,72,6,37,0
CSC003,2023-10-09,30,72,0,38,0
CSC003,2023-10-10,31,72,1,39,0
CSC003,2023-10-11,31,72,2,40,0
CSC003,2023-10-12,32,72,3,41,0
CSC003,2023-10-13,34,72,4,42,0
CSC003,2023-10-14,35,72,5,43,0
CSC003,2023-10-15,35,72,6,44,0
CSC003,2023-10-16,36,72,0,45,0
CSC003,2023-10-17,38,72,1,46,0
CSC003,2023-10-18,39,72,2,47,0
CSC003,2023-10-19,40,72,3,48,0
CSC003,2023-10-20,41,72,4,49,0
CSC003,2023-10-21,41,72,5,50,0
CSC003,2023-10-22,41,72,6,51,0
CSC003,2023-10-23,43,72,0,52,0
CSC003,2023-10-24,44,72,1,53,0
CSC003,2023-10-25,44,72,2,54,0
CSC003,2023-10-26,45,72,3,55,0
CSC003,2023-10-27,47,72,4,56,0
CSC003,2023-10-28,47,72,5,57,0
CSC003,2023-10-29,48,72,6,58,0
CSC003,2023-10-30,49,72,0,59,0
CSC003,2023-10-31,49,72,1,60,0
CSC003,2023-11-01,51,72,2,61,0
CSC003,2023-11-02,51,72,3,62,0
CSC003,2023-11-03,52,72,4,63,0
CSC003,2023-11-04,53,72,5,64,0
CSC003,2023-11-05,54,72,6,65,0
CSC003,2023-11-06,54,72,0,66,0
CSC003,2023-11-07,54,72,1,67,0
CSC003,2023-11-08,55,72,2,68,0
CSC003,2023-11-09,55,72,3,69,0
CSC003,2023-11-10,56,72,4,70,0
CSC003,2023-11-11,58,72,5,71,0
CSC003,2023-11-12,57,72,6,72,0
CSC003,2023-11-13,58,72,0,73,0
CSC003,2023-11-14,58,72,1,74,0
CSC003,2023-11-15,59,72,2,75,0
CSC003,2023-11-16,59,72,3,76,0
CSC003,2023-11-17,61,72,4,77,0
CSC003,2023-11-18,60,72,5,78,0
CSC003,2023-11-19,62,72,6,79,0
CSC003,2023-11-20,62,72,0,80,0
CSC003,2023-11-21,63,72,1,81,0
CSC003,2023-11-22,62,72,2,82,0
CSC003,2023-11-23,63,72,3,83,0
CSC003,2023-11-24,64,72,4,84,0
CSC003,2023-11-25,63,72,5,85,0
CSC003,2023-11-26,65,72,6,86,0
CSC003,2023-11-27,64,72,0,87,0
CSC003,2023-11-28,65,72,1,88,0
CSC003,2023-11-29,64,72,2,89,0
CSC004,2023-09-01,16,136,4,0,0
CSC004,2023-09-02,20,136,5,1,0
CSC004,2023-09-03,20,136,6,2,0
CSC004,2023-09-04,22,136,0,3,0
CSC004,2023-09-05,21,136,1,4,0
CSC004,2023-09-06,22,136,2,5,0
CSC004,2023-09-07,24,136,3,6,0
CSC004,2023-09-08,23,136,4,7,0
CSC004,2023-09-09,25,136,5,8,0
CSC004,2023-09-10,25,136,6,9,0
CSC004,2023-09-11,24,136,0,10,0
CSC004,2023-09-12,25,136,1,11,0
CSC004,2023-09-13,24,136,2,12,0
CSC004,2023-09-14,28,136,3,13,0
CSC004,2023-09-15,26,136,4,14,0
CSC004,2023-09-16,29,136,5,15,0
CSC004,2023-09-17,28,136,6,16,0
CSC004,2023-09-18,29,136,0,17,0
CSC004,2023-09-19,30,136,1,18,0
CSC004,2023-09-20,32,136,2,19,0
CSC004,2023-09-21,32,136,3,20,0
CSC004,2023-09-22,32,136,4,21,0
CSC004,2023-09-23,35,136,5,22,0
CSC004,2023-09-24,36,136,6,23,0
CSC004,2023-09-25,36,136,0,24,0
CSC004,2023-09-26,39,136,1,25,0
CSC004,2023-09-27,41,136,2,26,0
CSC004,2023-09-28,43,136,3,27,0
CSC004,2023-09-29,43,136,4,28,0
CSC004,2023-09-30,44,136,5,29,0
CSC004,2023-10-01,46,136,6,30,0
CSC004,2023-10-02,49,136,0,31,0
CSC004,2023-10-03,50,136,1,32,0
CSC004,2023-10-04,52,136,2,33,0
CSC004,2023-10-05,53,136,3,34,0
CSC004,2023-10-06,54,136,4,35,0
CSC004,2023-10-07,55,136,5,36,0
CSC004,2023-10-08,58,136,6,37,0
CSC004,2023-10-09,62,136,0,38,0
CSC004,2023-10-10,62,136,1,39,0
CSC004,2023-10-11,65,136,2,40,0
CSC004,2023-10-12,66,136,3,41,0
CSC004,2023-10-13,68,136,4,42,0
CSC004,2023-10-14,69,136,5,43,0
CSC004,2023-10-15,74,136,6,44,0
CSC004,2023-10-16,74,136,0,45,0
CSC004,2023-10-17,78,136,1,46,0
CSC004,2023-10-18,80,136,2,47,0
CSC004,2023-10-19,81,136,3,48,0
CSC004,2023-10-20,82,136,4,49,0
CSC004,2023-10-21,87,136,5,50,0
CSC004,2023-10-22,87,136,6,51,0
CSC004,2023-10-23,88,136,0,52,0
CSC004,2023-10-24,93,136,1,53,0
CSC004,2023-10-25,93,136,2,54,0
CSC004,2023-10-26,96,136,3,55,0
CSC004,2023-10-27,97,136,4,56,0
CSC004,2023-10-28,97,136,5,57,0
CSC004,2023-10-29,102,136,6,58,0
CSC004,2023-10-30,103,136,0,59,0
CSC004,2023-10-31,105,136,1,60,0
CSC004,2023-11-01,107,136,2,61,0
CSC004,2023-11-02,106,136,3,62,0
CSC004,2023-11-03,110,136,4,63,0
CSC004,2023-11-04,112,136,5,64,0
CSC004,2023-11-05,110,136,6,65,0
CSC004,2023-11-06,111,136,0,66,0
CSC004,2023-11-07,113,136,1,67,0
CSC004,2023-11-08,115,136,2,68,0
CSC004,2023-11-09,117,136,3,69,0
CSC004,2023-11-10,119,136,4,70,0
CSC004,2023-11-11,119,136,5,71,0
CSC004,2023-11-12,121,136,6,72,0
CSC004,2023-11-13,121,136,0,73,0
CSC004,2023-11-14,121,136,1,74,0
CSC004,2023-11-15,121,136,2,75,0
CSC004,2023-11-16,123,136,3,76,0
CSC004,2023-11-17,125,136,4,77,0
CSC004,2023-11-18,123,136,5,78,0
CSC004,2023-11-19,127,136,6,79,0
CSC004,2023-11-20,125,136,0,80,0
CSC004,2023-11-21,126,136,1,81,0
CSC004,2023-11-22,128,136,2,82,0
CSC004,2023-11-23,129,136,3,83,0
CSC004,2023-11-24,126,136,4,84,0
CSC004,2023-11-25,128,136,5,85,0
CSC004,2023-11-26,127,136,6,86,0
CSC004,2023-11-27,129,136,0,87,0
CSC004,2023-11-28,130,136,1,88,1
CSC004,2023-11-29,131,136,2,89,1
CSC005,2023-09-01,19,110,4,0,0
CSC005,2023-09-02,22,110,5,1,0
CSC005,2023-09-03,19,110,6,2,0
CSC005,2023-09-04,20,110,0,3,0
CSC005,2023-09-05,22,110,1,4,0
CSC005,2023-09-06,20,110,2,5,0
CSC005,2023-09-07,20,110,3,6,0
CSC005,2023-09-08,21,110,4,7,0
CSC005,2023-09-09,23,110,5,8,0
CSC005,2023-09-10,23,110,6,9,0
CSC005,2023-09-11,24,110,0,10,0
CSC005,2023-09-12,23,110,1,11,0
CSC005,2023-09-13,23,110,2,12,0
CSC005,2023-09-14,22,110,3,13,0
CSC005,2023-09-15,26,110,4,14,0
CSC005,2023-09-16,26,110,5,15,0
CSC005,2023-09-17,26,110,6,16,0
CSC005,2023-09-18,27,110,0,17,0
CSC005,2023-09-19,27,110,1,18,0
CSC005,2023-09-20,28,110,2,19,0
CSC005,2023-09-21,27,110,3,20,0
CSC005,2023-09-22,30,110,4,21,0
CSC005,2023-09-23,28,110,5,22,0
CSC005,2023-09-24,32,110,6,23,0
CSC005,2023-09-25,33,110,0,24,0
CSC005,2023-09-26,34,110,1,25,0
CSC005,2023-09-27,33,110,2,26,0
CSC005,2023-09-28,36,110,3,27,0
CSC005,2023-09-29,34,110,4,28,0
CSC005,2023-09-30,38,110,5,29,0
CSC005,2023-10-01,37,110,6,30,0
CSC005,2023-10-02,39,110,0,31,0
CSC005,2023-10-03,42,110,1,32,0
CSC005,2023-10-04,43,110,2,33,0
CSC005,2023-10-05,45,110,3,34,0
CSC005,2023-10-06,47,110,4,35,0
CSC005,2023-10-07,48,110,5,36,0
CSC005,2023-10-08,50,110,6,37,0
CSC005,2023-10-09,50,110,0,38,0
CSC005,2023-10-10,54,110,1,39,0
CSC005,2023-10-11,56,110,2,40,0
CSC005,2023-10-12,55,110,3,41,0
CSC005,2023-10-13,57,110,4,42,0
CSC005,2023-10-14,58,110,5,43,0
CSC005,2023-10-15,63,110,6,44,0
CSC005,2023-10-16,64,110,0,45,0
CSC005,2023-10-17,66,110,1,46,0
CSC005,2023-10-18,66,110,2,47,0
CSC005,2023-10-19,68,110,3,48,0
CSC005,2023-10-20,73,110,4,49,0
CSC005,2023-10-21,73,110,5,50,0
CSC005,2023-10-22,75,110,6,51,0
CSC005,2023-10-23,77,110,0,52,0
CSC005,2023-10-24,78,110,1,53,0
CSC005,2023-10-25,81,110,2,54,0
CSC005,2023-10-26,81,110,3,55,0
CSC005,2023-10-27,85,110,4,56,0
CSC005,2023-10-28,83,110,5,57,0
CSC005,2023-10-29,87,110,6,58,0
CSC005,2023-10-30,87,110,0,59,0
CSC005,2023-10-31,90,110,1,60,0
CSC005,2023-11-01,90,110,2,61,0
CSC005,2023-11-02,92,110,3,62,0
CSC005,2023-11-03,91,110,4,63,0
CSC005,2023-11-04,93,110,5,64,0
CSC005,2023-11-05,95,110,6,65,0
CSC005,2023-11-06,96,110,0,66,0
CSC005,2023-11-07,95,110,1,67,0
CSC005,2023-11-08,99,110,2,68,0
CSC005,2023-11-09,100,110,3,69,0
CSC005,2023-11-10,100,110,4,70,0
CSC005,2023-11-11,100,110,5,71,0
CSC005,2023-11-12,102,110,6,72,0
CSC005,2023-11-13,100,110,0,73,0
CSC005,2023-11-14,101,110,1,74,0
CSC005,2023-11-15,104,110,2,75,0
CSC005,2023-11-16,102,110,3,76,0
CSC005,2023-11-17,105,110,4,77,1
CSC005,2023-11-18,104,110,5,78,0
CSC005,2023-11-19,105,110,6,79,1
CSC005,2023-11-20,104,110,0,80,0
CSC005,2023-11-21,104,110,1,81,0
CSC005,2023-11-22,105,110,2,82,1
CSC005,2023-11-23,104,110,3,83,0
CSC005,2023-11-24,105,110,4,84,1
CSC005,2023-11-25,106,110,5,85,1
CSC005,2023-11-26,107,110,6,86,1
CSC005,2023-11-27,105,110,0,87,1
CSC005,2023-11-28,106,110,1,88,1
CSC005,2023-11-29,108,110,2,89,1
CSC006,2023-09-01,4,57,4,0,0
CSC006,2023-09-02,3,57,5,1,0
CSC006,2023-09-03,3,57,6,2,0
CSC006,2023-09-04,4,57,0,3,0
CSC006,2023-09-05,3,57,1,4,0
CSC006,2023-09-06,3,57,2,5,0
CSC006,2023-09-07,4,57,3,6,0
CSC006,2023-09-08,3,57,4,7,0
CSC006,2023-09-09,4,57,5,8,0
CSC006,2023-09-10,3,57,6,9,0
CSC006,2023-09-11,4,57,0,10,0
CSC006,2023-09-12,3,57,1,11,0
CSC006,2023-09-13,3,57,2,12,0
CSC006,2023-09-14,4,57,3,13,0
CSC006,2023-09-15,3,57,4,14,0
CSC006,2023-09-16,5,57,5,15,0
CSC006,2023-09-17,4,57,6,16,0
CSC006,2023-09-18,4,57,0,17,0
CSC006,2023-09-19,4,57,1,18,0
CSC006,2023-09-20,5,57,2,19,0
CSC006,2023-09-21,5,57,3,20,0
CSC006,2023-09-22,6,57,4,21,0
CSC006,2023-09-23,5,57,5,22,0
CSC006,2023-09-24,6,57,6,23,0
CSC006,2023-09-25,6,57,0,24,0
CSC006,2023-09-26,6,57,1,25,0
CSC006,2023-09-27,7,57,2,26,0
CSC006,2023-09-28,8,57,3,27,0
CSC006,2023-09-29,8,57,4,28,0
CSC006,2023-09-30,9,57,5,29,0
CSC006,2023-10-01,9,57,6,30,0
CSC006,2023-10-02,10,57,0,31,0
CSC006,2023-10-03,11,57,1,32,0
CSC006,2023-10-04,13,57,2,33,0
CSC006,2023-10-05,13,57,3,34,0
CSC006,2023-10-06,15,57,4,35,0
CSC006,2023-10-07,16,57,5,36,0
CSC006,2023-10-08,17,57,6,37,0
CSC006,2023-10-09,19,57,0,38,0
CSC006,2023-10-10,19,57,1,39,0
CSC006,2023-10-11,21,57,2,40,0
CSC006,2023-10-12,22,57,3,41,0
CSC006,2023-10-13,25,57,4,42,0
CSC006,2023-10-14,27,57,5,43,0
CSC006,2023-10-15,28,57,6,44,0
CSC006,2023-10-16,29,57,0,45,0
CSC006,2023-10-17,31,57,1,46,0
CSC006,2023-10-18,33,57,2,47,0
CSC006,2023-10-19,35,57,3,48,0
CSC006,2023-10-20,36,57,4,49,0
CSC006,2023-10-21,37,57,5,50,0
CSC006,2023-10-22,39,57,6,51,0
CSC006,2023-10-23,40,57,0,52,0
CSC006,2023-10-24,43,57,1,53,0
CSC006,2023-10-25,43,57,2,54,0
CSC006,2023-10-26,44,57,3,55,0
CSC006,2023-10-27,46,57,4,56,0
CSC006,2023-10-28,47,57,5,57,0
CSC006,2023-10-29,47,57,6,58,0
CSC006,2023-10-30,49,57,0,59,0
CSC006,2023-10-31,49,57,1,60,0
CSC006,2023-11-01,50,57,2,61,0
CSC006,2023-11-02,51,57,3,62,0
CSC006,2023-11-03,51,57,4,63,0
CSC006,2023-11-04,51,57,5,64,0
CSC006,2023-11-05,52,57,6,65,0
CSC006,2023-11-06,52,57,0,66,0
CSC006,2023-11-07,54,57,1,67,0
CSC006,2023-11-08,54,57,2,68,0
CSC006,2023-11-09,54,57,3,69,0
CSC006,2023-11-10,55,57,4,70,1
CSC006,2023-11-11,54,57,5,71,0
CSC006,2023-11-12,54,57,6,72,0
CSC006,2023-11-13,54,57,0,73,0
CSC006,2023-11-14,54,57,1,74,0
CSC006,2023-11-15,54,57,2,75,0
CSC006,2023-11-16,56,57,3,76,1
CSC006,2023-11-17,56,57,4,77,1
CSC006,2023-11-18,55,57,5,78,1
CSC006,2023-11-19,55,57,6,79,1
CSC006,2023-11-20,55,57,0,80,1
CSC006,2023-11-21,55,57,1,81,1
CSC006,2023-11-22,55,57,2,82,1
CSC006,2023-11-23,56,57,3,83,1
CSC006,2023-11-24,55,57,4,84,1
CSC006,2023-11-25,55,57,5,85,1
CSC006,2023-11-26,55,57,6,86,1
CSC006,2023-11-27,56,57,0,87,1
CSC006,2023-11-28,55,57,1,88,1
CSC006,2023-11-29,55,57,2,89,1
CSC007,2023-09-01,17,140,4,0,0
CSC007,2023-09-02,26,140,5,1,0
CSC007,2023-09-03,26,140,6,2,0
CSC007,2023-09-04,27,140,0,3,0
CSC007,2023-09-05,25,140,1,4,0
CSC007,2023-09-06,28,140,2,5,0
CSC007,2023-09-07,29,140,3,6,0
CSC007,2023-09-08,28,140,4,7,0
CSC007,2023-09-09,30,140,5,8,0
CSC007,2023-09-10,29,140,6,9,0
CSC007,2023-09-11,30,140,0,10,0
CSC007,2023-09-12,31,140,1,11,0
CSC007,2023-09-13,30,140,2,12,0
CSC007,2023-09-14,31,140,3,13,0
CSC007,2023-09-15,32,140,4,14,0
CSC007,2023-09-16,34,140,5,15,0
CSC007,2023-09-17,35,140,6,16,0
CSC007,2023-09-18,38,140,0,17,0
CSC007,2023-09-19,36,140,1,18,0
CSC007,2023-09-20,38,140,2,19,0
CSC007,2023-09-21,40,140,3,20,0
CSC007,2023-09-22,42,140,4,21,0
CSC007,2023-09-23,41,140,5,22,0
CSC007,2023-09-24,41,140,6,23,0
CSC007,2023-09-25,44,140,0,24,0
CSC007,2023-09-26,45,140,1,25,0
CSC007,2023-09-27,45,140,2,26,0
CSC007,2023-09-28,47,140,3,27,0
CSC007,2023-09-29,48,140,4,28,0
CSC007,2023-09-30,49,140,5,29,0
CSC007,2023-10-01,54,140,6,30,0
CSC007,2023-10-02,52,140,0,31,0
CSC007,2023-10-03,56,140,1,32,0
CSC007,2023-10-04,55,140,2,33,0
CSC007,2023-10-05,58,140,3,34,0
CSC007,2023-10-06,61,140,4,35,0
CSC007,2023-10-07,62,140,5,36,0
CSC007,2023-10-08,63,140,6,37,0
CSC007,2023-10-09,67,140,0,38,0
CSC007,2023-10-10,67,140,1,39,0
CSC007,2023-10-11,69,140,2,40,0
CSC007,2023-10-12,72,140,3,41,0
CSC007,2023-10-13,73,140,4,42,0
CSC007,2023-10-14,75,140,5,43,0
CSC007,2023-10-15,75,140,6,44,0
CSC007,2023-10-16,77,140,0,45,0
CSC007,2023-10-17,79,140,1,46,0
CSC007,2023-10-18,82,140,2,47,0
CSC007,2023-10-19,84,140,3,48,0
CSC007,2023-10-20,83,140,4,49,0
CSC007,2023-10-21,88,140,5,50,0
CSC007,2023-10-22,90,140,6,51,0
CSC007,2023-10-23,88,140,0,52,0
CSC007,2023-10-24,91,140,1,53,0
CSC007,2023-10-25,92,140,2,54,0
CSC007,2023-10-26,94,140,3,55,0
CSC007,2023-10-27,97,140,4,56,0
CSC007,2023-10-28,100,140,5,57,0
CSC007,2023-10-29,98,140,6,58,0
CSC007,2023-10-30,101,140,0,59,0
CSC007,2023-10-31,103,140,1,60,0
CSC007,2023-11-01,104,140,2,61,0
CSC007,2023-11-02,107,140,3,62,0
CSC007,2023-11-03,109,140,4,63,0
CSC007,2023-11-04,110,140,5,64,0
CSC007,2023-11-05,111,140,6,65,0
CSC007,2023-11-06,111,140,0,66,0
CSC007,2023-11-07,113,140,1,67,0
CSC007,2023-11-08,113,140,2,68,0
CSC007,2023-11-09,114,140,3,69,0
CSC007,2023-11-10,114,140,4,70,0
CSC007,2023-11-11,117,140,5,71,0
CSC007,2023-11-12,119,140,6,72,0
CSC007,2023-11-13,118,140,0,73,0
CSC007,2023-11-14,120,140,1,74,0
CSC007,2023-11-15,121,140,2,75,0
CSC007,2023-11-16,121,140,3,76,0
CSC007,2023-11-17,123,140,4,77,0
CSC007,2023-11-18,125,140,5,78,0
CSC007,2023-11-19,125,140,6,79,0
CSC007,2023-11-20,125,140,0,80,0
CSC007,2023-11-21,126,140,1,81,0
CSC007,2023-11-22,127,140,2,82,0
CSC007,2023-11-23,127,140,3,83,0
CSC007,2023-11-24,127,140,4,84,0
CSC007,2023-11-25,127,140,5,85,0
CSC007,2023-11-26,130,140,6,86,0
CSC007,2023-11-27,130,140,0,87,0
CSC007,2023-11-28,128,140,1,88,0
CSC007,2023-11-29,132,140,2,89,0
CSC008,2023-09-01,7,137,4,0,0
CSC008,2023-09-02,8,137,5,1,0
CSC008,2023-09-03,5,137,6,2,0
